cidade,pais,lat,lon
Tokyo,Japan,35.6897,139.6922
Jakarta,Indonesia,-6.2146,106.8451
Delhi,India,28.66,77.23
Mumbai,India,18.9667,72.8333
Manila,Philippines,14.6,120.9833
Shanghai,China,31.1667,121.4667
Sao Paulo,Brazil,-23.5504,-46.6339
Seoul,"Korea, South",37.56,126.99
Mexico City,Mexico,19.4333,-99.1333
Guangzhou,China,23.1288,113.259
Beijing,China,39.905,116.3914
Cairo,Egypt,30.0561,31.2394
New York,United States,40.6943,-73.9249
Kolkata,India,22.5411,88.3378
Moscow,Russia,55.7558,37.6178
Bangkok,Thailand,13.75,100.5167
Buenos Aires,Argentina,-34.5997,-58.3819
Shenzhen,China,22.535,114.054
Dhaka,Bangladesh,23.7289,90.3944
Lagos,Nigeria,6.45,3.4
Istanbul,Turkey,41.01,28.9603
Osaka,Japan,34.75,135.4601
Karachi,Pakistan,24.86,67.01
Bangalore,India,12.9699,77.598
Tehran,Iran,35.7,51.4167
Kinshasa,Congo (Kinshasa),-4.3233,15.3081
Ho Chi Minh City,Vietnam,10.8167,106.6333
Los Angeles,United States,34.1139,-118.4068
Rio de Janeiro,Brazil,-22.9083,-43.1964
Nanyang,China,32.9987,112.5292
Baoding,China,38.8671,115.4845
Chennai,India,13.0825,80.275
Chengdu,China,30.66,104.0633
Lahore,Pakistan,31.5497,74.3436
Paris,France,48.8566,2.3522
London,United Kingdom,51.5072,-0.1275
Linyi,China,35.0606,118.3425
Tianjin,China,39.1467,117.2056
Shijiazhuang,China,38.0422,114.5086
Zhoukou,China,33.625,114.6418
Lima,Peru,-12.05,-77.0333
Hyderabad,India,17.3667,78.4667
Handan,China,36.6116,114.4894
Bogota,Colombia,4.6126,-74.0705
Weifang,China,36.7167,119.1
Nagoya,Japan,35.1167,136.9333
Wuhan,China,30.5872,114.2881
Heze,China,35.2333,115.4333
Ganzhou,China,25.8292,114.9336
Tongshan,China,34.261,117.1859
Chicago,United States,41.8373,-87.6862
Luanda,Angola,-8.8383,13.2344
Changsha,China,28.1987,112.9709
Fuyang,China,32.8986,115.8045
Kuala Lumpur,Malaysia,3.1478,101.6953
Jining,China,35.4,116.5667
Dongguan,China,23.0475,113.7493
Jinan,China,36.6667,116.9833
Foshan,China,23.0292,113.1056
Hanoi,Vietnam,21.0245,105.8412
Pune,India,18.5196,73.8553
Chongqing,China,29.5628,106.5528
Changchun,China,43.9,125.2
Zhumadian,China,32.9773,114.0253
Ningbo,China,29.875,121.5492
Cangzhou,China,38.3037,116.8452
Nanjing,China,32.05,118.7667
Hefei,China,31.8639,117.2808
Ahmedabad,India,23.03,72.58
Hong Kong,Hong Kong,22.305,114.185
Zhanjiang,China,21.1967,110.4031
Shaoyang,China,27.2418,111.4725
Hengyang,China,26.8968,112.5857
Khartoum,Sudan,15.6031,32.5265
Nantong,China,31.9829,120.8873
Yancheng,China,33.3936,120.1339
Nanning,China,22.8192,108.315
Xi'an,China,34.2667,108.9
Shenyang,China,41.8039,123.4258
Tangshan,China,39.6292,118.1742
Santiago,Chile,-33.45,-70.6667
Zhengzhou,China,34.7492,113.6605
Shangqiu,China,34.4259,115.6467
Yantai,China,37.3997,121.2664
Riyadh,Saudi Arabia,24.65,46.71
Dar es Salaam,Tanzania,-6.8,39.2833
Xinyang,China,32.1264,114.0672
Shangrao,China,28.4419,117.9633
Luoyang,China,34.6587,112.4245
Bijie,China,27.3019,105.2863
Quanzhou,China,24.9139,118.5858
Hangzhou,China,30.25,120.1675
Miami,United States,25.7839,-80.2102
Huanggang,China,30.45,114.875
Maoming,China,21.6618,110.9178
Kunming,China,25.0433,102.7061
Nanchong,China,30.7991,106.0784
Zunyi,China,27.705,106.9336
Jieyang,China,23.5533,116.3649
Lu'an,China,31.7542,116.5078
Yichun,China,27.8041,114.383
Madrid,Spain,40.4167,-3.7167
Changde,China,29.0397,111.6839
Taizhou,China,28.6583,121.4221
Liaocheng,China,36.45,115.9833
Qujing,China,25.5102,103.8029
Surat,India,21.17,72.83
Baghdad,Iraq,33.35,44.4167
Qingdao,China,36.1167,120.4
Singapore,Singapore,1.3,103.8
Dallas,United States,32.7936,-96.7662
Dazhou,China,31.2152,107.4947
Suzhou,China,33.6333,116.9683
Xiangyang,China,32.0654,112.1531
Philadelphia,United States,40.0077,-75.1339
Giza,Egypt,29.987,31.2118
Nairobi,Kenya,-1.2864,36.8172
Nangandao,China,35.2992,113.8851
Ankara,Turkey,39.93,32.85
Tai'an,China,36.2001,117.0809
Yulin,China,22.6293,110.1507
Dezhou,China,37.4513,116.3105
Houston,United States,29.7863,-95.3889
Atlanta,United States,33.7627,-84.4224
Yongzhou,China,26.4515,111.5953
Rangoon,Myanmar,16.8,96.15
Toronto,Canada,43.7417,-79.3733
Suihua,China,46.6384,126.9808
Washington,United States,38.9047,-77.0163
Qiqihar,China,47.3398,123.9512
Jinhua,China,29.1046,119.6494
Saint Petersburg,Russia,59.95,30.3167
Shantou,China,23.3735,116.6941
Sydney,Australia,-33.865,151.2094
Weinan,China,34.4996,109.4684
Suqian,China,33.9331,118.2831
Guadalajara,Mexico,20.6767,-103.3475
Suzhou,China,31.304,120.6164
Fuzhou,China,26.0769,119.2917
Zhaotong,China,27.3328,103.7144
Pudong,China,31.2231,121.5397
Belo Horizonte,Brazil,-19.9281,-43.9419
Zhangzhou,China,24.5093,117.6612
Bozhou,China,33.8626,115.7742
Melbourne,Australia,-37.8136,144.9631
Nanchang,China,28.6842,115.8872
Xianyang,China,34.35,108.7167
Taizhou,China,32.4831,119.9
Surabaya,Indonesia,-7.2458,112.7378
Abidjan,C�te D�Ivoire,5.3364,-4.0267
Huaihua,China,27.5494,109.9592
Ji'an,China,27.1172,114.9793
Mianyang,China,31.4669,104.7385
Xiaoganzhan,China,30.9273,113.911
Shaoxing,China,30.0,120.5833
